Danger_Score,MMSI_A,MMSI_B,Distance_NM,Distance_Meters,TS_A,Latitude,Longitude,SOG_A,SOG_B,Delta_SOG_1,Delta_SOG_2,Delta_COG_1,Delta_COG_2,Report_Interval_Sec_1,File_Source
30,111265584,230690000,0.01266682591023777,23.5,2021-12-06 14:38:40,55.649963,14.781273,12.0,12.2,0.0,0.0,0.0,0.2,9,part-00112-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.013771807440296055,25.5,2021-12-06 22:31:54,55.343286,13.866675,2.1,2.6,1.1,1.2,2.8,0.6,9,part-00116-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.014529791497298267,26.9,2021-12-07 18:54:05,55.593999,14.556868,3.3,2.7,0.6,1.1,10.1,9.5,4,part-00127-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.013050312219815102,24.2,2021-12-10 16:02:22,55.33066,15.283708,2.9,2.3,1.7,0.1,3.1,3.4,19,part-00165-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.027456237912948874,50.8,2021-12-14 06:10:41,55.557507,14.356539,5.5,3.9,0.3,-0.3,1.0,28.0,3,part-00172-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.01658767768345038,30.7,2021-12-14 18:02:52,55.661665,14.672753,2.7,3.1,0.4,1.1,14.7,12.7,4,part-00179-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.020129035595067103,37.3,2021-12-15 01:40:23,55.38742,13.772842,2.2,2.2,0.0,0.1,0.3,1.6,9,part-00183-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.02594460822470956,48.0,2021-12-16 07:20:33,55.04243,15.33183,3.7,2.0,0.5,0.0,3.1,1.7,14,part-00201-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.021043483585513282,39.0,2021-12-17 07:24:42,55.029,15.38521,2.0,2.0,-0.6,0.1,4.5,0.3,4,part-00215-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,230053260,265512660,0.018251263661021953,33.8,2021-12-17 08:50:08,55.893164,14.558619,5.7,6.0,-0.1,0.4,1.2,1.6,60,part-00216-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265512660,265812560,0.019090440342413206,35.4,2021-12-17 13:09:51,55.557481,14.356353,2.5,3.5,0.1,0.7,0.5,1.7,3,part-00219-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,218809000,219028337,0.018201653156037223,33.7,2021-12-17 14:37:24,55.628596,12.978028,4.5,6.9,0.0,-0.5,0.3,1.7,9,part-00220-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.015149062773827363,28.1,2021-12-17 21:55:52,55.528485,14.374468,3.4,3.4,0.0,0.0,0.0,0.0,9,part-00224-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.013411623515497243,24.8,2021-12-17 22:22:23,55.505335,14.362189,3.3,3.3,0.1,0.0,0.1,0.1,10,part-00225-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.01436761789558032,26.6,2021-12-18 00:35:54,55.4016,14.260939,3.2,3.2,0.0,0.0,0.0,0.0,11,part-00226-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.013465088755570878,24.9,2021-12-18 02:31:33,55.360538,14.14679,2.2,2.2,0.0,-0.1,0.0,0.4,11,part-00227-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
